Model,accuracy,weightedPrecision,weightedRecall,f1
Decision Tree,0.9310344827586207,0.9310344827586208,0.9310344827586208,0.9310344827586208
Random Forest,0.9655172413793104,0.9698275862068966,0.9655172413793103,0.9657592256503327
Logistic Regression,0.9310344827586207,0.9310344827586208,0.9310344827586208,0.9310344827586208
